Symbol,Stock_Name,LOT_SIZE
AARTIIND,AARTIINDAarti Industries Ltd,1000
ABB,ABBABB India Limited,125
ABCAPITAL,ABCAPITALAditya Birla Capital Ltd,2700
ABFRL,ABFRLAditya Birla Fashion and Retail Limited,2600
ACC,ACCACC Ltd,300
ADANIENSOL,ADANIENSOLAdani Energy Solutions Limited,625
ADANIENT,ADANIENTAdani Enterprises Ltd.,300
ADANIGREEN,ADANIGREENAdani Green Energy Limited,375
ADANIPORTS,ADANIPORTSAdani Ports and Special Economic Zone Ltd,400
ALKEM,ALKEMAlkem Laboratories Limited,100
AMBUJACEM,AMBUJACEMAmbuja Cements Ltd.,900
ANGELONE,ANGELONEANGEL ONE LIMITED,200
APLAPOLLO,APLAPOLLOAPL Apollo Tubes Limited,350
APOLLOHOSP,APOLLOHOSPApollo Hospitals Enterprises Ltd.,125
APOLLOTYRE,APOLLOTYREApollo Tyres Ltd,1700
ASHOKLEY,ASHOKLEYAshok Leyland Ltd.,2500
ASIANPAINT,ASIANPAINTAsian Paints Ltd.,200
ASTRAL,ASTRALASTRAL LIMITED,367
ATGL,ATGLADANI TOTAL GAS LIMITED,775
AUBANK,AUBANKAU Small Finance Bank Limited,1000
AUROPHARMA,AUROPHARMAAurobindo Pharma Ltd.,550
AXISBANK,AXISBANKAXIS Bank Ltd.,625
BAJAJ-AUTO,BAJAJ-AUTOBajaj Auto Limited,75
BAJAJFINSV,BAJAJFINSVBajaj Finserv Limited,500
BAJFINANCE,BAJFINANCEBajaj Finance Limited,125
BALKRISIND,BALKRISINDBalkrishna Industries Ltd.,300
BANDHANBNK,BANDHANBNKBandhan Bank Limited,2800
BANKBARODA,BANKBARODABank Of Baroda,2925
BANKINDIA,BANKINDIABank of India,4825
BANKNIFTY,BANKNIFTYNifty Bank,30
BEL,BELBharat Electronics Ltd.,2850
BERGEPAINT,BERGEPAINTBerger Paints India Ltd,-
BHARATFORG,BHARATFORGBharat Forge Ltd,500
BHARTIARTL,BHARTIARTLBharti Airtel Ltd.,475
BHEL,BHELBharat Heavy Electricals Ltd.,2625
BIOCON,BIOCONBiocon Ltd.,2500
BOSCHLTD,BOSCHLTDBosch Ltd,25
BPCL,BPCLBharat Petroleum Corpn. Ltd.,1800
BRITANNIA,BRITANNIABritannia Industries Ltd.,100
BSE,BSEBSE Ltd.,125
BSOFT,BSOFTBIRLASOFT LIMITED,1000
CAMS,CAMSComputer Age Management Services Limited,125
CANBK,CANBKCanara Bank,6750
CDSL,CDSLCentral Depository Services (India) Ltd.,350
CESC,CESCCESC Limited,2925
CGPOWER,CGPOWERCG Power and Industrial Solutions Limited,725
CHAMBLFERT,CHAMBLFERTChambal Fertilisers & Chemicals Ltd,1900
